,date,open_x,high_x,low_x,close_x,volume_x,market cap_x,open_y,high_y,low_y,close_y,volume_y,market cap_y,open,high,low,close,volume,market cap
1265,2019-01-23,118.71,119.42,116.38,117.45,2556952198.0,12277481872.0,1.01,1.01,1.01,1.01,3663985821.0,2033881765.0,3605.56,3623.07,3565.31,3585.12,5433755649.0,62731361272.0
1266,2019-01-24,117.46,118.03,116.01,117.36,2520843420.0,12269992351.0,1.01,1.01,1.0,1.01,3581348682.0,2034477909.0,3584.5,3616.09,3569.09,3600.87,5262869046.0,63014066012.0
1267,2019-01-25,117.59,117.8,115.83,116.38,2606881898.0,12168932300.0,1.01,1.01,1.01,1.01,3634209137.0,2038477177.0,3607.39,3612.93,3575.6,3599.77,5265847539.0,63000985908.0
1268,2019-01-26,116.37,118.08,115.98,116.49,2412181169.0,12182338148.0,1.01,1.01,1.0,1.01,3445405585.0,2035939570.0,3599.72,3654.93,3593.35,3602.46,5098183235.0,63054898963.0
1269,2019-01-27,116.51,116.69,113.41,113.41,2775888287.0,11861671822.0,1.01,1.01,1.0,1.01,3932642453.0,2034836041.0,3604.69,3612.67,3567.25,3583.97,5570752966.0,62737274093.0
1270,2019-01-28,113.29,113.69,103.34,106.59,3366895505.0,11150461958.0,1.01,1.01,1.01,1.01,4951907623.0,2038694610.0,3584.28,3586.75,3439.23,3470.45,6908930483.0,60756570314.0
1271,2019-01-29,106.72,107.17,104.0,105.6,2900418606.0,11048347342.0,1.01,1.01,1.01,1.01,4206195777.0,2039923121.0,3468.87,3476.07,3400.82,3448.12,5897159493.0,60371874099.0
1272,2019-01-30,105.41,109.45,104.84,108.91,2874370355.0,11396282341.0,1.01,1.01,1.0,1.01,4249354160.0,2035381727.0,3443.9,3495.17,3429.39,3486.18,5955112627.0,61044262622.0
1273,2019-01-31,108.9,110.46,106.53,107.06,2828796031.0,11204735502.0,1.01,1.01,1.0,1.01,4110696174.0,2033970566.0,3485.41,3504.8,3447.92,3457.79,5831198271.0,60553903927.0
1274,2019-02-01,107.15,108.64,105.05,107.61,2541271519.0,11263815610.0,1.0,1.01,1.0,1.01,3949396927.0,2033605783.0,3460.55,3501.95,3431.59,3487.95,5422926707.0,61088747491.0
