,date,open,high,low,close,volume,market cap
262,"May 01, 2022",37713.27,38627.86,37585.79,38469.09,27002760110.0,731986764312.0
263,"Apr 30, 2022",38605.86,38771.21,37697.94,37714.88,23895713731.0,717596901509.0
264,"Apr 29, 2022",39768.62,39887.27,38235.54,38609.82,30882994649.0,734589762490.0
265,"Apr 28, 2022",39241.43,40269.47,38941.42,39773.83,33903704907.0,756698317682.0
266,"Apr 27, 2022",38120.3,39397.92,37997.31,39241.12,30981015184.0,746531438329.0
267,"Apr 26, 2022",40448.42,40713.89,37884.99,38117.46,34569088416.0,725113482674.0
268,"Apr 25, 2022",39472.61,40491.75,38338.38,40458.31,35445730570.0,769607056243.0
269,"Apr 24, 2022",39478.37,39845.92,39233.54,39469.29,17964398167.0,750755023764.0
270,"Apr 23, 2022",39738.72,39935.86,39352.2,39486.73,16138021249.0,751045477435.0
271,"Apr 22, 2022",40525.86,40777.76,39315.42,39740.32,28011716745.0,755827581233.0
272,"Apr 21, 2022",41371.52,42893.58,40063.83,40527.36,35372786395.0,770762297843.0
273,"Apr 20, 2022",41501.74,42126.3,40961.1,41374.38,27819532341.0,786828424699.0
274,"Apr 19, 2022",40828.17,41672.96,40618.63,41502.75,25303206547.0,789227424713.0
275,"Apr 18, 2022",39721.2,40986.32,38696.19,40826.21,33705182072.0,776330593866.0
276,"Apr 17, 2022",40417.78,40570.73,39620.89,39716.95,19087633042.0,755201997823.0
277,"Apr 16, 2022",40552.32,40633.68,40078.43,40424.48,16833150693.0,768615440640.0
278,"Apr 15, 2022",39939.4,40617.72,39866.83,40553.46,21756855753.0,771033872659.0
279,"Apr 14, 2022",41160.22,41451.48,39695.74,39935.52,24342001973.0,759245303311.0
280,"Apr 13, 2022",40123.57,41430.05,39712.75,41166.73,27691105228.0,782617115810.0
281,"Apr 12, 2022",39533.71,40617.59,39388.33,40127.18,30991500854.0,762819737794.0
282,"Apr 11, 2022",42201.04,42424.59,39373.06,39521.9,33949912166.0,751274786459.0
283,"Apr 10, 2022",42781.09,43376.38,42021.21,42207.67,17654475582.0,802293412897.0
284,"Apr 09, 2022",42282.08,42786.82,42183.25,42782.14,16050772496.0,813175789802.0
285,"Apr 08, 2022",43505.14,43903.02,42183.29,42287.66,27215995394.0,803736501494.0
286,"Apr 07, 2022",43207.5,43860.7,42899.91,43503.85,26101973106.0,826814841543.0
287,"Apr 06, 2022",45544.36,45544.36,43193.95,43206.74,39393395788.0,821131605927.0
288,"Apr 05, 2022",46624.51,47106.14,45544.81,45555.99,29640604055.0,865734982991.0
289,"Apr 04, 2022",46445.27,46791.09,45235.82,46622.67,32499785455.0,885964854050.0
290,"Apr 03, 2022",45859.13,47313.48,45634.1,46453.57,25414397610.0,882703992271.0
291,"Apr 02, 2022",46285.5,47028.28,45782.51,45868.95,29336594194.0,871556728553.0
292,"Apr 01, 2022",45554.16,46616.24,44403.14,46281.64,38162644287.0,879359612625.0
293,"Mar 31, 2022",47062.15,47512.03,45390.54,45538.68,33327427106.0,865202119216.0
